timestamp,ssid,device_connected,ping_successful
1610361582.3694403,The Village Reserve,1,0
1610365182.3068562,The Village Reserve,1,0
1610368782.360952,The Village Reserve,1,0
1610372382.2892513,The Village Reserve,1,0
1610375982.30511,The Village Reserve,1,0
1610379582.5059285,The Village Reserve,1,0
1610383183.0073943,The Village Reserve,1,0
1610386782.402655,The Village Reserve,1,0
1610390382.4359038,The Village Reserve,1,0
1610393982.3782609,The Village Reserve,1,0
1610397582.3445637,The Village Reserve,1,0
1610401182.4624887,The Village Reserve,1,0
1610404782.28841,The Village Reserve,1,0
1610408382.4195468,The Village Reserve,1,0
1610411982.5223384,The Village Reserve,1,0
1610415582.3870034,The Village Reserve,1,0
1610419182.3117855,The Village Reserve,1,0
1610420918.4737246,The Village Reserve,1,0
1610426445.6959498,The Village Reserve,1,0
1610428118.5871375,The Village Reserve,1,0
1610431718.3922904,The Village Reserve,1,0
1610435318.39126,The Village Reserve,1,0
1610438918.4482374,The Village Reserve,1,0
1610442518.4828815,The Village Reserve,1,0
1610446118.390718,The Village Reserve,1,0
1610449718.3891733,The Village Reserve,1,0
1610453318.6801403,The Village Reserve,1,0
1610456918.6422634,The Village Reserve,1,0
1610460518.4649255,The Village Reserve,1,0
1610464360.5223217,The Village Reserve,1,0
1610467960.591512,The Village Reserve,1,0
1610471827.6840796,The Village Reserve,1,0
1610475531.7709239,The Village Reserve,1,0
1610479027.717831,The Village Reserve,1,0
1610482627.8282669,The Village Reserve,1,0
1610486227.820658,The Village Reserve,1,0
1610489827.6662114,The Village Reserve,1,0
1610493427.6900635,The Village Reserve,1,0
1610497027.5682259,The Village Reserve,1,0
1610500627.7473521,The Village Reserve,1,0
1610504227.6358976,The Village Reserve,1,0
1610507827.6600497,The Village Reserve,1,0
1610511427.6265104,The Village Reserve,1,0
1610515027.5641372,The Village Reserve,1,0
1610518627.6662548,The Village Reserve,1,0
1610522229.3955832,The Village Reserve,1,0
1610525827.8420382,The Village Reserve,1,0
1610529427.6552732,The Village Reserve,1,0
1610533027.5864835,The Village Reserve,1,0
1610536627.8594809,The Village Reserve,1,0
1610540227.8051672,The Village Reserve,1,0
1610543827.5993876,The Village Reserve,1,0
1610547427.5725477,The Village Reserve,1,0
1610551027.6040494,The Village Reserve,1,0
1610554627.6469443,The Village Reserve,1,0
1610558413.2225478,The Village Reserve,1,0
1610562013.3682914,The Village Reserve,1,0
1610565613.4333308,The Village Reserve,1,0
1610569213.4482522,The Village Reserve,1,0
1610572813.392606,The Village Reserve,1,0
1610576413.3601584,The Village Reserve,1,0
1610580013.3675952,The Village Reserve,1,0
1610583613.3915508,The Village Reserve,1,0
1610587213.4897604,The Village Reserve,1,0
1610590813.5993297,The Village Reserve,1,0
1610594413.4938817,The Village Reserve,1,0
1610598013.4057217,The Village Reserve,1,0
1610601613.4416912,The Village Reserve,1,0
1610605213.3852994,The Village Reserve,1,0
1610608813.3891034,The Village Reserve,1,0
1610611682.0507348,The Village Reserve,1,0
1610616239.5976527,The Village Reserve,1,0
1610618882.181665,The Village Reserve,1,0
1610622482.2773917,The Village Reserve,1,0
1610624941.1034386,The Village Reserve,1,0
1610630105.5487828,The Village Reserve,1,0
1610632141.1223552,The Village Reserve,1,0
1610635741.1224868,The Village Reserve,1,0
1610639341.2220871,The Village Reserve,1,0
1610642941.2371602,The Village Reserve,1,0
1610646541.1300666,The Village Reserve,1,0
1610650141.2205918,The Village Reserve,1,0
1610653741.2162473,The Village Reserve,1,0
1610657341.1930585,The Village Reserve,1,0
1610660941.1346805,The Village Reserve,1,0
1610664541.1250823,The Village Reserve,1,0
1610668141.283597,The Village Reserve,1,0
1610671741.2085202,The Village Reserve,1,0
1610675341.2124898,The Village Reserve,1,0
1610678941.1909025,The Village Reserve,1,0
1610682541.2716439,The Village Reserve,1,0
1610686141.2589743,The Village Reserve,1,0
1610689741.1706872,The Village Reserve,1,0
1610693341.1686397,The Village Reserve,1,0
1610696941.119459,The Village Reserve,1,0
1610700545.0106702,The Village Reserve,1,0
1610704144.1590817,The Village Reserve,1,0
1610705577.9262288,The Village Reserve,1,0
1610709314.6202922,The Village Reserve,1,0
1610711876.932786,The Village Reserve,1,0
1610715561.2849715,The Village Reserve,1,0
1610720910.3357365,The Village Reserve,1,0
1610722763.287997,The Village Reserve,1,0
1610726363.4829383,The Village Reserve,1,0
1610729964.3616843,The Village Reserve,1,0
1610733562.3168333,The Village Reserve,1,0
1610737163.302301,The Village Reserve,1,0
1610740761.3138022,The Village Reserve,1,0
1610744361.2735782,The Village Reserve,1,0
1610747963.3305938,The Village Reserve,1,0
1610751562.328931,The Village Reserve,1,0
1610755164.3215728,The Village Reserve,1,0
1610758780.5227695,The Village Reserve,1,0
1610762364.3142326,The Village Reserve,1,0
1610765964.703244,The Village Reserve,1,0
1610769563.3069608,The Village Reserve,1,0
1610773161.2976878,The Village Reserve,1,0
1610776762.3110723,The Village Reserve,1,0
1610780362.4096484,The Village Reserve,1,0
1610783963.3400774,The Village Reserve,1,0
1610787563.3854527,The Village Reserve,1,0
1610791164.452645,The Village Reserve,1,0
1610794763.300056,The Village Reserve,1,0
1610798364.3183773,The Village Reserve,1,0
1610801964.3613849,The Village Reserve,1,0
1610805564.3153064,The Village Reserve,1,0
1610809164.4270496,The Village Reserve,1,0
1610812764.362702,The Village Reserve,1,0
1610816362.5532162,The Village Reserve,1,0
1610820034.4737592,The Village Reserve,1,0
1610824081.368202,The Village Reserve,1,0
1610827240.0670605,The Village Reserve,1,0
1610827409.981053,The Village Reserve,1,0
1610831573.664454,The Village Reserve,1,0
1610834615.0584643,The Village Reserve,1,0
1610838215.0999596,The Village Reserve,1,0
1610840274.6343853,The Village Reserve,1,0
1610845273.9294088,The Village Reserve,1,0
1610847479.929959,The Village Reserve,1,0
1610851079.9778907,The Village Reserve,1,0
1610854676.0096998,The Village Reserve,1,0
1610858275.9710715,The Village Reserve,1,0
1610858861.3431175,The Village Reserve,1,0
1610862464.4273283,The Village Reserve,1,0
1610866065.2057981,The Village Reserve,1,0
1610869663.390007,The Village Reserve,1,0
1610873265.219512,The Village Reserve,1,0
1610876863.2145138,The Village Reserve,1,0
1610880463.2027583,The Village Reserve,1,0
1610884064.4012623,The Village Reserve,1,0
1610887665.1894422,The Village Reserve,1,0
1610891265.0343447,The Village Reserve,1,0
1610894865.2339382,The Village Reserve,1,0
1610898465.2676153,The Village Reserve,1,0
1610901274.3395386,The Village Reserve,1,0
1610904950.7720134,The Village Reserve,1,0
1610908706.246444,The Village Reserve,1,0
1610912601.155392,The Village Reserve,1,0
1610915908.4917455,The Village Reserve,1,0
1610919509.2036355,The Village Reserve,1,0
